SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AKANKSHA, SM, 06-Feb-2026, 71.95, 71.95, 72.00, 71.95, 72.00, 72.00, 71.98, 3000, 2.16, 2, 3000, 100.00
AKASH, EQ, 06-Feb-2026, 24.49, 24.08, 24.99, 24.08, 24.35, 24.35, 24.39, 6160, 1.50, 62, 3614, 58.67
AKG, EQ, 06-Feb-2026, 14.06, 14.20, 15.00, 13.91, 14.61, 14.52, 14.67, 633973, 93.00, 839, 401909, 63.40
AKI, EQ, 06-Feb-2026, 6.42, 6.74, 6.74, 6.24, 6.60, 6.58, 6.56, 28838, 1.89, 142, 25054, 86.88
AKIKO, ST, 06-Feb-2026, 206.00, 206.00, 210.00, 201.50, 208.00, 208.00, 206.42, 24000, 49.54, 23, 20000, 83.33
AKSHAR, EQ, 06-Feb-2026, 0.51, 0.52, 0.52, 0.51, 0.52, 0.51, 0.51, 950808, 4.88, 434, 592540, 62.32
AKSHARCHEM, EQ, 06-Feb-2026, 221.16, 221.16, 222.28, 218.13, 218.70, 219.43, 219.57, 2901, 6.37, 108, 1803, 62.15
AKSHOPTFBR, EQ, 06-Feb-2026, 5.38, 5.48, 5.48, 4.95, 5.32, 5.27, 5.16, 1144730, 59.01, 1327, 629074, 54.95
AKUMS, EQ, 06-Feb-2026, 447.65, 446.00, 448.00, 440.00, 447.75, 446.90, 444.03, 38687, 171.78, 1865, 16619, 42.96
AKZOINDIA, EQ, 06-Feb-2026, 2823.30, 2823.20, 2940.00, 2808.20, 2928.50, 2918.60, 2867.11, 29318, 840.58, 6843, 14685, 50.09
ALANKIT, EQ, 06-Feb-2026, 9.60, 9.60, 9.80, 9.35, 9.43, 9.41, 9.48, 101109, 9.58, 610, 65463, 64.74
ALBERTDAVD, EQ, 06-Feb-2026, 695.20, 698.65, 698.65, 678.30, 680.00, 680.55, 682.75, 1201, 8.20, 173, 728, 60.62
ALCODIS, SM, 06-Feb-2026, 76.05, 74.00, 79.00, 74.00, 79.00, 79.00, 77.38, 5000, 3.87, 4, 4375, 87.50
ALEMBICLTD, EQ, 06-Feb-2026, 96.98, 96.49, 97.61, 95.41, 97.20, 97.12, 96.79, 168342, 162.94, 2636, 101502, 60.30
ALGOQUANT, EQ, 06-Feb-2026, 60.49, 60.20, 60.80, 57.30, 58.65, 58.72, 59.35, 628640, 373.07, 1333, 256397, 40.79
ALICON, EQ, 06-Feb-2026, 737.15, 740.00, 740.00, 710.10, 724.95, 719.30, 722.38, 2693, 19.45, 389, 1466, 54.44
ALIVUS, EQ, 06-Feb-2026, 925.65, 930.00, 937.95, 878.40, 932.00, 932.45, 913.07, 101797, 929.48, 9573, 42932, 42.17
ALKALI, EQ, 06-Feb-2026, 69.88, 71.19, 71.19, 68.22, 70.49, 70.37, 69.98, 1619, 1.13, 82, 979, 60.47
